Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg)
2009-01-02 07:00:00,998.17,-4.28,269.02,-4.89,95.5,4.44,4.24,0.2,2.65,4.25,1291.15,0.53,1.13,156.4
2009-01-02 08:00:00,998.18,-4.33,268.97,-5.04,94.8,4.43,4.2,0.23,2.62,4.2,1291.44,1.64,2.38,178.7
2009-01-02 09:00:00,998.35,-4.13,269.16,-4.97,93.8,4.49,4.22,0.28,2.63,4.22,1290.68,1.32,1.88,184.5
2009-01-02 10:00:00,998.65,-3.93,269.34,-4.99,92.3,4.56,4.21,0.35,2.63,4.22,1290.1,1.83,2.25,141.7
2009-01-02 11:00:00,998.98,-3.62,269.62,-4.68,92.3,4.67,4.31,0.36,2.69,4.32,1288.99,1.21,1.63,141.5
2009-01-02 12:00:00,998.91,-3.12,270.13,-4.5,90.1,4.85,4.37,0.48,2.73,4.38,1286.47,1.54,2.0,127.0
2009-01-02 13:00:00,998.59,-2.53,270.74,-4.23,88.0,5.07,4.46,0.61,2.78,4.47,1283.22,0.92,1.5,129.4
2009-01-02 14:00:00,998.73,-2.56,270.7,-4.29,87.8,5.06,4.44,0.62,2.77,4.45,1283.56,0.73,1.25,42.4
2009-01-02 15:00:00,998.87,-2.12,271.12,-4.0,86.9,5.22,4.54,0.68,2.83,4.54,1281.64,0.47,1.0,336.3
2009-01-02 16:00:00,999.59,-2.76,270.43,-4.22,89.6,4.98,4.46,0.52,2.78,4.46,1285.63,2.91,4.13,11.99
2009-01-02 17:00:00,1000.21,-2.88,270.26,-4.43,89.0,4.94,4.39,0.54,2.74,4.39,1287.04,1.52,2.88,7.05
2009-01-02 18:00:00,1000.74,-3.07,270.03,-4.14,92.3,4.87,4.49,0.37,2.8,4.49,1288.58,2.97,4.63,12.56
2009-01-02 19:00:00,1001.27,-3.34,269.72,-4.64,90.7,4.77,4.33,0.44,2.69,4.32,1290.63,3.07,4.5,14.34
2009-01-02 20:00:00,1001.83,-3.3,269.72,-4.29,92.8,4.79,4.44,0.34,2.76,4.43,1291.08,2.89,4.0,24.28
2009-01-02 21:00:00,1002.23,-3.49,269.5,-4.61,91.9,4.72,4.34,0.38,2.69,4.33,1292.57,2.48,3.88,14.31
2009-01-02 22:00:00,1002.39,-4.02,268.96,-5.58,88.8,4.53,4.03,0.51,2.5,4.02,1295.46,3.06,4.13,23.48
2009-01-02 23:00:00,1002.52,-4.38,268.59,-5.8,89.7,4.41,3.96,0.45,2.46,3.95,1297.39,0.74,1.38,354.0
2009-01-03 00:00:00,1002.32,-4.71,268.27,-6.09,90.0,4.3,3.87,0.43,2.41,3.86,1298.79,1.42,1.88,16.85
2009-01-03 01:00:00,1002.39,-5.28,267.7,-6.35,92.1,4.12,3.79,0.33,2.36,3.78,1301.68,0.27,1.0,292.8
2009-01-03 02:00:00,1002.27,-6.23,266.76,-7.26,92.3,3.83,3.54,0.29,2.2,3.53,1306.26,0.39,1.0,279.2
2009-01-03 03:00:00,1002.15,-6.13,266.87,-7.22,91.9,3.86,3.55,0.31,2.2,3.54,1305.61,0.43,0.75,76.8
2009-01-03 04:00:00,1002.02,-6.21,266.79,-7.32,91.8,3.83,3.52,0.31,2.19,3.51,1305.89,0.77,1.5,273.2
2009-01-03 05:00:00,1001.65,-7.02,266.01,-8.1,91.9,3.6,3.31,0.29,2.06,3.31,1309.46,0.48,0.88,193.9
2009-01-03 06:00:00,1001.29,-8.2,264.86,-9.05,93.5,3.29,3.07,0.21,1.91,3.07,1314.93,0.47,1.75,221.4
2009-01-03 07:00:00,1001.17,-8.48,264.59,-9.91,89.3,3.21,2.87,0.34,1.79,2.87,1316.27,1.32,2.25,229.7
2009-01-03 08:00:00,1001.04,-9.28,263.8,-10.44,91.2,3.02,2.75,0.27,1.71,2.75,1320.15,0.85,1.75,219.7
2009-01-03 09:00:00,1000.92,-9.46,263.63,-10.69,90.7,2.98,2.7,0.28,1.68,2.7,1320.91,0.79,1.5,177.8
2009-01-03 10:00:00,1000.67,-8.53,264.58,-10.83,83.3,3.2,2.67,0.53,1.66,2.67,1315.96,1.08,1.88,167.5
2009-01-03 11:00:00,1000.04,-7.87,265.29,-9.84,85.6,3.37,2.89,0.49,1.8,2.89,1311.75,1.34,2.25,172.1
2009-01-03 12:00:00,999.02,-5.96,267.28,-8.72,80.7,3.91,3.16,0.75,1.97,3.16,1300.9,1.31,1.88,213.9
2009-01-03 13:00:00,998.3,-2.82,270.47,-7.4,70.5,4.96,3.5,1.46,2.18,3.5,1284.7,1.52,2.25,180.5
2009-01-03 14:00:00,997.53,-2.15,271.2,-7.68,65.61,5.21,3.42,1.79,2.14,3.43,1280.57,0.88,1.5,60.25
2009-01-03 15:00:00,996.91,-0.82,272.59,-9.82,50.25,5.75,2.89,2.86,1.81,2.9,1273.76,1.34,2.25,209.1
2009-01-03 16:00:00,996.25,-2.8,270.65,-12.13,48.39,4.97,2.4,2.56,1.5,2.41,1282.51,1.82,2.5,240.6
2009-01-03 17:00:00,995.76,-4.69,268.8,-12.56,53.86,4.31,2.32,1.99,1.45,2.33,1290.94,2.63,3.5,248.8
2009-01-03 18:00:00,995.48,-4.08,269.43,-11.44,56.32,4.51,2.54,1.97,1.59,2.55,1287.53,3.12,4.63,250.5
2009-01-03 19:00:00,995.44,-3.78,269.73,-10.5,59.35,4.62,2.74,1.88,1.71,2.75,1285.95,0.96,2.13,236.3
2009-01-03 20:00:00,994.94,-3.84,269.72,-9.56,64.22,4.6,2.95,1.64,1.85,2.97,1285.48,0.91,2.13,143.4
2009-01-03 21:00:00,994.3,-3.15,270.45,-8.48,66.47,4.84,3.22,1.62,2.01,3.23,1281.27,0.97,2.0,220.0
2009-01-03 22:00:00,994.06,-2.76,270.86,-7.88,67.66,4.98,3.37,1.61,2.11,3.39,1279.04,1.03,2.0,214.8
2009-01-03 23:00:00,993.28,-2.58,271.1,-7.05,71.2,5.05,3.59,1.45,2.25,3.62,1277.07,1.6,4.25,237.7
2009-01-04 00:00:00,992.93,-1.9,271.81,-6.39,71.2,5.31,3.78,1.53,2.37,3.81,1273.31,1.47,2.5,147.6
2009-01-04 01:00:00,992.19,-1.42,272.35,-5.61,73.0,5.5,4.02,1.49,2.52,4.05,1270.01,2.77,4.75,232.1
2009-01-04 02:00:00,991.76,-2.22,271.58,-3.61,90.1,5.19,4.67,0.51,2.94,4.71,1272.89,1.82,4.75,201.9
2009-01-04 03:00:00,991.26,-2.2,271.64,-3.52,90.6,5.2,4.71,0.49,2.96,4.75,1272.12,0.87,1.88,94.4
2009-01-04 04:00:00,990.83,-1.88,272.0,-3.29,90.0,5.32,4.79,0.53,3.01,4.83,1270.02,0.62,1.75,167.3
2009-01-04 05:00:00,990.37,-1.64,272.28,-2.87,91.2,5.42,4.94,0.48,3.11,4.99,1268.23,1.31,3.13,215.4
2009-01-04 06:00:00,989.99,-1.44,272.5,-2.66,91.3,5.5,5.02,0.48,3.16,5.07,1266.78,1.0,2.38,200.9
2009-01-04 07:00:00,989.9,-1.09,272.86,-2.65,89.1,5.64,5.02,0.61,3.16,5.08,1265.04,2.75,5.75,246.8
2009-01-04 08:00:00,989.92,-0.89,273.06,-2.45,89.1,5.72,5.1,0.62,3.21,5.15,1264.12,2.93,5.0,242.6
2009-01-04 09:00:00,989.95,-0.72,273.23,-2.73,86.2,5.79,4.99,0.8,3.14,5.04,1263.42,1.7,3.88,254.0
2009-01-04 10:00:00,989.86,-1.37,272.59,-2.71,90.5,5.53,5.0,0.52,3.15,5.05,1266.28,2.59,4.5,232.9
2009-01-04 11:00:00,989.64,-1.1,272.87,-2.53,90.0,5.63,5.07,0.56,3.19,5.12,1264.75,2.38,4.5,234.6
2009-01-04 12:00:00,988.94,-1.21,272.82,-2.36,91.8,5.59,5.13,0.46,3.23,5.19,1264.3,1.99,3.88,225.8
2009-01-04 13:00:00,988.07,-1.02,273.08,-2.53,89.4,5.67,5.07,0.6,3.2,5.13,1262.35,3.08,6.5,227.6
2009-01-04 14:00:00,987.57,-0.77,273.37,-2.33,89.1,5.77,5.14,0.63,3.25,5.21,1260.53,1.5,2.88,229.6
2009-01-04 15:00:00,987.03,-0.7,273.48,-2.52,87.4,5.8,5.07,0.73,3.2,5.14,1259.56,0.61,1.88,249.1
2009-01-04 16:00:00,986.69,-1.05,273.15,-2.7,88.5,5.65,5.0,0.65,3.16,5.07,1260.77,1.03,2.13,192.8
2009-01-04 17:00:00,986.54,-1.46,272.76,-2.77,90.7,5.49,4.98,0.51,3.14,5.05,1262.46,1.1,2.25,220.7
2009-01-04 18:00:00,986.15,-1.51,272.74,-2.73,91.3,5.47,4.99,0.48,3.16,5.06,1262.18,1.39,2.5,217.0
2009-01-04 19:00:00,985.92,-1.62,272.64,-2.73,92.1,5.42,4.99,0.43,3.16,5.07,1262.42,0.97,2.25,191.3
2009-01-04 20:00:00,985.68,-1.56,272.72,-2.66,92.2,5.45,5.02,0.42,3.17,5.09,1261.83,1.76,3.25,223.0
2009-01-04 21:00:00,985.45,-1.51,272.8,-2.51,92.8,5.47,5.08,0.39,3.21,5.15,1261.25,1.89,4.13,220.5
2009-01-04 22:00:00,985.43,-1.43,272.88,-2.31,93.7,5.5,5.15,0.35,3.26,5.23,1260.82,0.88,3.38,144.8
2009-01-04 23:00:00,985.27,-1.44,272.87,-2.35,93.5,5.49,5.14,0.36,3.25,5.21,1260.69,1.47,3.13,212.5
2009-01-05 00:00:00,985.07,-1.47,272.86,-2.45,93.0,5.48,5.1,0.38,3.23,5.18,1260.58,1.42,3.0,239.8
2009-01-05 01:00:00,984.74,-1.57,272.79,-2.58,92.8,5.44,5.05,0.39,3.2,5.13,1260.66,2.55,4.75,245.3
2009-01-05 02:00:00,984.82,-1.6,272.75,-2.71,92.1,5.43,5.0,0.43,3.17,5.08,1260.91,2.52,4.38,262.4
2009-01-05 03:00:00,985.1,-1.5,272.83,-3.34,87.2,5.47,4.77,0.7,3.02,4.84,1260.92,3.06,5.38,258.3
2009-01-05 04:00:00,985.47,-1.76,272.54,-3.32,89.0,5.37,4.78,0.59,3.02,4.85,1262.61,2.74,6.25,258.9
2009-01-05 05:00:00,985.57,-1.77,272.53,-3.45,88.2,5.36,4.73,0.63,2.99,4.8,1262.78,3.35,5.5,259.5
2009-01-05 06:00:00,985.97,-1.76,272.5,-3.48,87.9,5.37,4.72,0.65,2.98,4.79,1263.25,1.84,3.63,266.3
2009-01-05 07:00:00,986.79,-2.08,272.12,-3.82,87.8,5.24,4.6,0.64,2.91,4.66,1265.86,1.28,2.88,356.4
2009-01-05 08:00:00,987.67,-2.72,271.4,-4.37,88.3,5.0,4.41,0.58,2.78,4.47,1270.09,1.59,3.5,0.12
2009-01-05 09:00:00,988.42,-3.11,270.95,-4.35,91.1,4.85,4.42,0.43,2.79,4.47,1272.89,1.61,4.63,187.7
2009-01-05 10:00:00,989.23,-3.29,270.71,-4.55,90.9,4.79,4.35,0.44,2.74,4.4,1274.82,2.53,4.63,6.79
2009-01-05 11:00:00,989.97,-3.53,270.41,-5.11,88.7,4.7,4.17,0.53,2.63,4.21,1276.99,5.06,7.88,13.74
2009-01-05 12:00:00,990.42,-3.65,270.26,-5.54,86.6,4.66,4.04,0.62,2.54,4.08,1278.21,5.49,8.38,17.44
2009-01-05 13:00:00,990.82,-4.15,269.72,-5.84,87.9,4.49,3.94,0.54,2.48,3.98,1281.16,5.91,9.75,28.54
2009-01-05 14:00:00,991.08,-4.57,269.28,-6.05,89.3,4.35,3.88,0.47,2.44,3.92,1283.5,6.11,7.75,19.12
2009-01-05 15:00:00,991.8,-5.14,268.66,-6.54,89.8,4.16,3.74,0.42,2.35,3.77,1287.24,5.67,8.25,26.38
2009-01-05 16:00:00,992.67,-5.74,267.99,-7.36,88.2,3.98,3.51,0.47,2.2,3.53,1291.37,7.11,9.5,31.28
2009-01-05 17:00:00,993.4,-6.38,267.29,-7.95,88.5,3.79,3.35,0.44,2.1,3.37,1295.53,7.23,9.5,20.77
2009-01-05 18:00:00,994.25,-6.85,266.75,-8.55,87.6,3.65,3.2,0.45,2.0,3.22,1299.0,6.34,9.25,20.57
2009-01-05 19:00:00,994.69,-7.9,265.66,-11.46,75.4,3.36,2.54,0.83,1.59,2.55,1305.05,7.29,10.38,20.94
2009-01-05 20:00:00,995.62,-9.13,264.36,-12.71,75.0,3.05,2.29,0.76,1.43,2.3,1312.47,5.45,7.88,16.84
2009-01-05 21:00:00,996.43,-10.18,263.25,-13.51,76.4,2.81,2.15,0.66,1.34,2.15,1318.87,3.77,5.75,10.63
2009-01-05 22:00:00,996.99,-10.6,262.79,-13.95,76.2,2.72,2.07,0.65,1.29,2.08,1321.75,2.61,3.75,25.33
2009-01-05 23:00:00,997.29,-11.72,261.64,-14.57,79.2,2.48,1.97,0.52,1.23,1.97,1327.86,2.96,5.25,8.06
2009-01-06 00:00:00,997.6,-12.63,260.71,-15.07,81.8,2.31,1.89,0.42,1.18,1.89,1332.96,1.6,2.63,355.5
2009-01-06 01:00:00,997.71,-13.34,259.99,-15.46,83.9,2.18,1.83,0.35,1.14,1.83,1336.78,0.91,2.25,8.35
2009-01-06 02:00:00,997.96,-13.64,259.67,-15.63,84.8,2.12,1.8,0.32,1.12,1.8,1338.68,1.09,3.13,340.2
2009-01-06 03:00:00,998.22,-13.89,259.4,-15.8,85.3,2.08,1.77,0.31,1.11,1.78,1340.33,2.16,4.13,353.8
2009-01-06 04:00:00,998.24,-14.29,259.0,-16.03,86.5,2.01,1.74,0.27,1.09,1.74,1342.44,1.83,2.75,355.0
2009-01-06 05:00:00,998.14,-15.13,258.17,-16.75,87.3,1.88,1.64,0.24,1.02,1.64,1346.73,1.08,2.5,13.16
2009-01-06 06:00:00,998.22,-15.37,257.92,-16.73,89.2,1.84,1.64,0.2,1.02,1.64,1348.09,0.76,2.0,47.73
2009-01-06 07:00:00,998.34,-16.86,256.42,-18.39,87.8,1.62,1.43,0.2,0.89,1.43,1356.2,0.33,0.75,173.9
2009-01-06 08:00:00,998.34,-16.92,256.36,-18.4,88.1,1.61,1.42,0.19,0.89,1.43,1356.53,1.01,1.75,3.41
2009-01-06 09:00:00,998.35,-15.71,257.57,-17.25,87.8,1.79,1.57,0.22,0.98,1.57,1350.08,0.44,1.0,192.0
2009-01-06 10:00:00,998.46,-15.23,258.04,-16.85,87.3,1.86,1.63,0.24,1.01,1.63,1347.7,1.63,2.38,24.18
2009-01-06 11:00:00,998.29,-15.05,258.24,-17.04,84.6,1.89,1.6,0.29,1.0,1.6,1346.54,1.67,2.38,19.66
2009-01-06 12:00:00,997.79,-14.52,258.8,-17.02,81.1,1.97,1.6,0.37,1.0,1.61,1343.1,3.42,4.5,23.73
2009-01-06 13:00:00,997.02,-10.97,262.41,-15.17,70.9,2.64,1.87,0.77,1.17,1.88,1323.75,0.99,1.75,148.9
2009-01-06 14:00:00,996.32,-11.9,261.54,-16.1,70.7,2.45,1.73,0.72,1.08,1.74,1327.61,1.75,3.13,34.7
2009-01-06 15:00:00,996.27,-12.05,261.39,-15.83,73.2,2.42,1.77,0.65,1.11,1.78,1328.29,1.87,2.38,18.27
2009-01-06 16:00:00,996.25,-13.52,259.92,-16.37,78.9,2.14,1.69,0.45,1.06,1.7,1335.82,0.99,1.38,340.8
2009-01-06 17:00:00,996.14,-14.88,258.57,-16.79,85.2,1.92,1.63,0.28,1.02,1.64,1342.73,0.63,1.25,298.1
2009-01-06 18:00:00,995.91,-16.49,256.97,-18.34,85.4,1.67,1.43,0.24,0.89,1.44,1350.95,2.72,3.38,249.7
2009-01-06 19:00:00,995.74,-17.21,256.26,-19.01,85.7,1.58,1.35,0.23,0.84,1.36,1354.55,0.9,1.88,225.3
2009-01-06 20:00:00,995.54,-18.35,255.14,-20.16,85.5,1.43,1.22,0.21,0.76,1.23,1360.41,0.62,1.0,224.9
2009-01-06 21:00:00,995.5,-18.62,254.87,-20.34,86.1,1.4,1.2,0.19,0.75,1.21,1361.81,0.35,1.0,186.9
2009-01-06 22:00:00,995.23,-19.39,254.12,-21.34,84.3,1.31,1.1,0.21,0.69,1.11,1365.62,0.6,2.0,205.8
2009-01-06 23:00:00,994.67,-20.85,252.7,-22.62,85.5,1.15,0.98,0.17,0.62,0.99,1372.81,0.69,1.13,184.8
2009-01-07 00:00:00,994.51,-21.09,252.47,-23.01,84.3,1.13,0.95,0.18,0.59,0.95,1373.91,0.48,1.0,168.4
2009-01-07 01:00:00,994.14,-21.56,252.02,-23.54,83.8,1.08,0.91,0.18,0.57,0.91,1376.0,0.68,1.25,173.3
2009-01-07 02:00:00,993.87,-20.99,252.61,-22.73,85.7,1.14,0.97,0.16,0.61,0.98,1372.47,0.38,1.13,196.9
2009-01-07 03:00:00,993.75,-22.76,250.85,-24.8,83.2,0.97,0.81,0.16,0.51,0.81,1382.1,1.83,2.75,154.1
2009-01-07 04:00:00,993.36,-22.39,251.25,-24.39,83.5,1.0,0.84,0.17,0.52,0.84,1379.5,1.1,2.13,181.6
2009-01-07 05:00:00,992.91,-22.42,251.25,-24.46,83.2,1.0,0.83,0.17,0.52,0.84,1379.04,0.7,1.5,81.7
2009-01-07 06:00:00,992.37,-22.13,251.58,-24.14,83.5,1.03,0.86,0.17,0.54,0.86,1376.69,0.81,2.0,180.9
2009-01-07 07:00:00,992.1,-21.42,252.31,-23.41,83.7,1.09,0.92,0.18,0.57,0.92,1372.4,0.83,1.13,191.3
2009-01-07 08:00:00,992.18,-22.5,251.22,-24.55,83.1,0.99,0.83,0.17,0.52,0.83,1378.47,0.67,1.25,182.5
2009-01-07 09:00:00,992.14,-21.17,252.56,-23.29,82.8,1.12,0.93,0.19,0.58,0.93,1371.09,0.79,1.38,198.2
2009-01-07 10:00:00,992.45,-20.34,253.37,-22.44,83.1,1.2,1.0,0.2,0.63,1.01,1366.98,0.79,1.38,211.9
2009-01-07 11:00:00,992.41,-18.71,255.01,-21.02,81.8,1.39,1.13,0.25,0.71,1.14,1358.1,0.73,1.5,216.9
2009-01-07 12:00:00,992.05,-16.5,257.25,-18.64,83.3,1.67,1.39,0.28,0.87,1.41,1345.78,0.56,1.13,183.3
2009-01-07 13:00:00,991.6,-14.39,259.4,-16.39,84.6,2.0,1.69,0.31,1.06,1.7,1334.05,0.99,1.75,139.9
2009-01-07 14:00:00,991.58,-12.15,261.64,-14.63,81.6,2.4,1.96,0.44,1.23,1.97,1322.44,1.1,2.0,156.8
2009-01-07 15:00:00,991.85,-10.57,263.21,-12.38,86.4,2.72,2.35,0.37,1.48,2.37,1314.64,0.73,1.63,129.2
2009-01-07 16:00:00,992.21,-9.58,264.17,-11.12,88.4,2.95,2.61,0.34,1.64,2.63,1310.05,0.93,2.0,126.2
2009-01-07 17:00:00,992.79,-8.55,265.16,-10.15,88.1,3.2,2.82,0.38,1.77,2.84,1305.61,0.51,1.38,116.2
2009-01-07 18:00:00,993.53,-7.98,265.67,-9.52,88.6,3.34,2.96,0.38,1.86,2.98,1303.71,0.79,1.38,128.7
2009-01-07 19:00:00,994.38,-7.75,265.84,-9.58,86.6,3.4,2.95,0.46,1.85,2.96,1303.69,0.61,1.25,114.9
2009-01-07 20:00:00,995.07,-7.85,265.69,-9.36,88.8,3.38,3.0,0.38,1.88,3.01,1305.07,0.88,1.5,43.83
2009-01-07 21:00:00,996.09,-8.44,265.02,-9.57,91.5,3.22,2.95,0.27,1.84,2.96,1309.35,0.23,0.75,85.2
2009-01-07 22:00:00,997.11,-9.41,263.97,-10.27,93.4,2.99,2.79,0.2,1.74,2.8,1315.59,0.52,1.38,188.1
2009-01-07 23:00:00,997.88,-10.68,262.64,-11.74,91.8,2.7,2.48,0.22,1.55,2.48,1323.13,0.1,0.5,184.2
2009-01-08 00:00:00,998.53,-10.78,262.49,-11.88,91.5,2.68,2.45,0.23,1.53,2.45,1324.52,0.37,0.75,196.2
2009-01-08 01:00:00,999.2,-11.92,261.3,-13.19,90.2,2.44,2.2,0.24,1.37,2.21,1331.32,0.5,0.88,149.1
2009-01-08 02:00:00,1000.02,-11.64,261.52,-12.63,92.3,2.5,2.31,0.19,1.44,2.31,1330.92,0.23,0.63,175.0
2009-01-08 03:00:00,1000.98,-12.96,260.13,-14.16,90.6,2.25,2.03,0.21,1.27,2.03,1339.1,0.12,0.5,151.6
2009-01-08 04:00:00,1001.46,-12.31,260.74,-13.46,91.0,2.37,2.15,0.21,1.34,2.15,1336.35,1.27,1.88,216.6
2009-01-08 05:00:00,1001.67,-12.2,260.84,-13.6,89.2,2.39,2.13,0.26,1.32,2.13,1336.08,0.27,0.75,178.6
2009-01-08 06:00:00,1002.15,-11.4,261.6,-12.62,90.6,2.55,2.31,0.24,1.43,2.3,1332.54,0.34,0.75,212.0
2009-01-08 07:00:00,1002.52,-10.9,262.07,-12.22,89.9,2.65,2.39,0.27,1.48,2.38,1330.45,0.3,0.63,173.9
2009-01-08 08:00:00,1003.33,-10.01,262.9,-11.49,88.8,2.85,2.53,0.32,1.57,2.52,1326.96,0.39,0.75,204.7
2009-01-08 09:00:00,1003.95,-10.04,262.82,-11.4,89.7,2.84,2.55,0.29,1.58,2.54,1327.92,0.55,1.0,204.6
2009-01-08 10:00:00,1004.31,-8.07,264.76,-10.1,85.2,3.32,2.83,0.49,1.75,2.82,1318.38,0.33,0.75,190.1
2009-01-08 11:00:00,1004.6,-6.53,266.28,-10.0,76.2,3.74,2.85,0.89,1.77,2.84,1311.16,1.35,1.88,134.8
2009-01-08 12:00:00,1004.33,-6.84,265.99,-9.69,80.0,3.65,2.92,0.73,1.81,2.91,1312.26,2.13,3.5,146.3
2009-01-08 13:00:00,1004.23,-4.27,268.57,-7.94,75.4,4.45,3.35,1.09,2.08,3.34,1299.39,1.49,2.38,163.5
2009-01-08 14:00:00,1003.72,-4.73,268.14,-7.75,79.3,4.29,3.41,0.89,2.11,3.39,1300.94,2.61,3.63,152.8
2009-01-08 15:00:00,1003.44,-4.27,268.62,-7.59,77.5,4.45,3.45,1.0,2.14,3.43,1298.34,1.39,2.13,169.5
2009-01-08 16:00:00,1003.52,-4.97,267.92,-7.78,80.5,4.22,3.4,0.82,2.11,3.38,1301.83,0.39,1.13,104.1
2009-01-08 17:00:00,1003.61,-7.77,265.12,-8.99,90.9,3.4,3.09,0.31,1.92,3.08,1315.85,0.86,1.25,243.8
2009-01-08 18:00:00,1003.85,-8.65,264.22,-9.65,92.4,3.17,2.93,0.24,1.82,2.92,1320.61,0.55,0.88,216.7
2009-01-08 19:00:00,1003.87,-10.23,262.64,-11.32,91.6,2.8,2.56,0.24,1.59,2.55,1328.76,0.61,1.13,194.3
2009-01-08 20:00:00,1004.01,-10.67,262.19,-11.73,91.8,2.7,2.48,0.22,1.54,2.47,1331.22,0.25,0.63,84.9
2009-01-08 21:00:00,1004.11,-11.59,261.26,-12.86,90.2,2.51,2.26,0.25,1.4,2.25,1336.14,1.09,1.5,217.5
2009-01-08 22:00:00,1004.11,-12.1,260.75,-13.23,91.2,2.41,2.2,0.21,1.36,2.19,1338.78,0.48,0.75,153.6
